Mississippi	MS	-1	6	Hybrid primary	3/8/2016	41	36	5	3/8/2016	40	40	0	-1	http://www.sos.ms.gov/elections-voting/pages/voter-registration-information.aspx
Missouri	MO	-1	10	Open primary	2/23/2016	84	71	13	2/23/2016	52	52	0	-1	http://www.sos.mo.gov/elections/govotemissouri/register
Montana	MT	-1	3	Open primary	6/7/2016	27	21	6	6/7/2016	27	27	0	-1	http://sos.mt.gov/ELECTIONS/Vote/index.asp
Nebraska	NE	-1	5	Top two	5/5/2016	30	25	5	5/5/2016	36	36	0	-1	https://www.nebraska.gov/apps-sos-voter-registration/
Nevada	NV	-1	6	Closed primary	2/20/2016	43	35	8	2/20/2016	30	30	0	-1	http://www.clarkcountynv.gov/election/Pages/RegisterToVote.aspx
New Hampshire	NH	-1	4	Hybrid primary	2/9/2016	32	24	8	2/9/2016	23	23	0	-1	http://sos.nh.gov/VoterRegFAQ.aspx
New Jersey	NJ	-1	14	Closed primary	2/20/2016	142	126	16	2/20/2016	51	51	0	-1	http://www.nj.gov/state/elections/voting-information.html
New Mexico	NM	-1	5	Closed primary	6/7/2016	43	34	9	6/7/2016	24	24	0	-1	http://www.sos.state.nm.us/Voter_Information/Voter_Registration_Information.aspx
New York	NY	-1	29	Closed primary	4/19/2016	291	247	44	4/19/2016	95	95	0	-1	http://dmv.ny.gov/more-info/electronic-voter-registration-application
North Carolina	NC	-1	15	Hybrid primary	3/15/2016	121	107	14	3/15/2016	72	72	0	-1	https://www.ncsbe.gov/registering-to-vote
North Dakota	ND	-1	3	Open primary	5/24/2016	23	18	5	5/24/2016	28	28	0	The only state without voter registration 	https://vip.sos.nd.gov/pdfs/portals/votereg.pdf
Ohio	OH	-1	18	Hybrid primary	5/15/2016	159	143	16	5/15/2016	66	66	0	-1	http://www.dmv.org/oh-ohio/voter-registration.php
Oklahoma	OK	-1	7	Hybrid primary	5/1/2016	42	38	4	5/1/2016	43	43	0	-1	https://www.ok.gov/elections/Voter_Info/Register_to_Vote/
Oregon	OR	-1	7	Hybrid priamry	5/17/2016	74	61	13	5/17/2016	28	28	0	-1	https://secure.sos.state.or.us/orestar/vr/register.do?lang=eng
Pennsylvania	PA	-1	20	Closed primary	4/26/2016	210	189	21	4/26/2016	17	17	0	-1	http://www.votespa.com/portal/server.pt?mode=2&objID=1174117&open=514&parentid=1&parentname=ObjMgr
Rhode Island	RI	-1	4	Hybrid primary	1/8/2016	33	24	9	1/8/2016	19	19	0	-1	http://www.elections.state.ri.us/voting/registration.php
South Carolina	SC	-1	9	Hybrid primary	2/20/2016	59	53	6	2/20/2016	50	50	0	-1	https://info.scvotes.sc.gov/eng/ovr/start.aspx
South Dakota	SD	-1	3	Hybrid primary	6/7/2016	25	20	5	6/7/2016	29	29	0	-1	https://sdsos.gov/elections-voting/voting/register-to-vote/
Tennessee	TN	-1	11	Hybrid primary	2/10/2016	76	67	9	2/10/2016	58	58	0	-1	http://sos.tn.gov/products/elections/register-vote-0
Texas	TX	-1	38	Hybrid primary	3/1/2016	252	222	30	3/1/2016	155	155	0	-1	http://www.votetexas.gov/register-to-vote/
Utah	UT	-1	6	Hybrid primary	3/22/2016	37	33	4	3/22/2016	40	40	0	-1	https://secure.utah.gov/voterreg/index.html
Vermont	VT	-1	3	Open primary	3/1/2016	26	16	10	3/1/2016	16	16	0	-1	https://www.sec.state.vt.us/elections/voters/registration.aspx
Virginia	VA	-1	13	Hybrid primary	3/1/2016	109	95	14	3/1/2016	49	49	0	-1	http://elections.virginia.gov/registration/how-to-register/
Washington	WA	-1	12	Top two primary	3/26/2016	118	101	17	3/26/2016	44	44	0	-1	http://www.dol.wa.gov/driverslicense/voter.html
West Virginia	WV	-1	5	Hybrid primary 	10/5/2016	37	29	8	10/5/2016	34	34	0	-1	https://ovr.sos.wv.gov/Register
Wisconsin	WI	-1	10	Open primary	4/5/2016	96	86	10	4/5/2016	42	42	0	No absentee ballot 	https://myvote.wi.gov/
Wyoming	WY	-1	3	Closed primary	8/16/2016	18	14	4	8/16/2016	29	29	0	-1	http://soswy.state.wy.us/elections/registeringtovote.aspx
